Symbol	Description
ELF	E-L Financial
ELF.PR.F	E-L Financial Corp Ltd Pr Ser. 1
ELF.PR.G	E- L Financial Corp Limited
ELF.PR.H	E - L Financial Corp Ltd Pref Ser 3
ELR	Eastern Platinum Limited
ELV	Powershares S&P Emg Mkts Low Vol ETF
EMA	Emera Incorporated
EMA.PR.A	Emera Inc Series A Pref
EMA.PR.B	Emera Inc Pref Sh Series B
EMA.PR.C	Emera Inc Pref Sh Series C
EMA.PR.E	Emera Inc Pref Ser E
EMA.PR.F	Emera Inc Series F Pref
EMA.PR.H	Emera Inc Pref Series H
EML.PR.A	The Empire Life Insurance CO Pref A
EMP.A	Empire Company Limited
EMV.B	Wisdomtree Emerging Mkts Div Idx ETF
ENB	Enbridge Inc
ENB.PF.A	Enbridge Inc Pref Ser 9
ENB.PF.C	Enbridge Inc Pref Ser 11
ENB.PF.E	Enbridge Inc Pref Ser 13
ENB.PF.G	Enbridge Inc Pref Ser 15
ENB.PF.I	Enbridge Inc Pref Ser 17
ENB.PF.K	Enbridge Inc Pref Series 19
ENB.PF.U	Enbridge Inc Pref Ser L
ENB.PF.V	Enbridge Inc Pref Ser 5 USD
ENB.PR.A	Enbridge Pr
ENB.PR.B	Enbridge Inc Cum Redeem Pref Ser B
ENB.PR.C	Enbridge Inc Pref Ser C
ENB.PR.D	Enbridge Inc Pref Ser D
ENB.PR.F	Enbridge Inc Pref Ser F
ENB.PR.H	Enbridge Inc Pref Ser H
ENB.PR.J	Enbridge Inc Pref Ser 7
ENB.PR.N	Enbridge Inc Pref Ser N
ENB.PR.P	Enbridge Inc Pref Ser P
ENB.PR.T	Enbridge Inc Pref Ser R
ENB.PR.U	Enbridge Inc Pref Sh Series J
ENB.PR.V	Enbridge Inc Pref Ser 1
ENB.PR.Y	Enbridge Inc Cum Red Pref Ser 3
ENGH	Enghouse Systems Limited
ENI.UN	Energy Income Fund
ENS	E Split Corp
ENS.PR.A	E Split Corp Pref Shares
ENT	Entrec Corp
ENT.DB	Entrec Corporation 8.5 Pct Debs
EOX	Euromax Resources Ltd
EQB	Equitable Group Inc
EQB.PR.C	Equitable Group Inc Pref Ser 3
EQL	Invesco S&P 500 Eql Weight Idx ETF
EQL.F	Invesco S&P 500 Eql Weight Idx ETF Hgd
EQL.U	Invesco S&P 500 Eql Weight Idx ETF USD
EQX	Equinox Gold Corp
EQX.WT	Equinox Gold Corp WT
ER	Eastmain Res J
ERD	Erdene Resource Development Corp
ERF	Enerplus Corp
ERO	Ero Copper Corp
ESG	Invesco SP 500 ESG Index ETF
ESG.F	Invesco SP 500 ESG Index ETF Hedged
ESGA	BMO MSCI Canada ESG Leaders Index ETF
ESGB	BMO ESG Corporate Bond Index ETF
ESGE	BMO MSCI EAFE ESG Leaders Index ETF
ESGF	BMO ESG US Corp Bnd Hdgd To CAD Idx ETF
ESGG	BMO MSCI Global ESG Leaders Index ETF
ESGY	BMO MSCI USA ESG Leaders Index ETF
ESI	Ensign Energy Services Inc
ESM	Euro Sun Mining Inc
ESN	Essential Energy Services Ltd
ET	Evertz Technologies Limited
ETG	Entree Resources Ltd
ETHI	Horizons Global Sustain Leaders Idx ETF
ETP	First Trust Global Risk Managed Inc ETF
ETP.A	First Trust Glb Risk Managed Inc ETF AC
ETX	Etrion Corp
EUR	First Trust Alphadex Euro Div ETF
EUR.A	First Trust Alphadex Euro Div Idx AC ETF
EVT	Economic Investment
EXE	Extendicare Inc
EXE.DB.C	Extendicare Inc 5 Pct Debs
EXF	Exfo Inc
EXN	Excellon Resources Inc
EXN.WT	Excellon Resources Inc WT
FAF	Fire & Flower Holdings Corp.
FAH.U	Fairfax Africa Holdings Corp
FAI	CI First Asset Active Util&Infrastructure ETF
FAO	CI First Asset Active Credit ETF
FAO.U	CI First Asset Active Credit ETF USD
FAP	Aberdeen Asia-Pacific Income Invest Ltd
FAR	Foraco International Sa
FBE	CI First Asset Canadian Buyback Index ETF
FBU	CI First Asset US Buyback Index ETF
FC	Firm Capital Mortgage Inv. Corp
FC.DB.E	Firm Cap Mtg Invest Corp 5.30 Pct Debs
FC.DB.F	Firm Capital Mortgage 5.50 Pct Debs
FC.DB.G	Firm Capital Mortgage Inv 5.20 Pct Debs
FC.DB.H	Firm Capital Mortgage 5.30 Pct Debs
FC.DB.I	Firm Capital Mtg Inv Corp 5.40 Pct Debs
FC.DB.J	Firm Capital Mtg Inv Corp 5.5 Pct Debs
FCCB	Fidelity Systematic CDN Bond Index ETF
FCCD	Fidelity CDN High Div Index ETF
FCCL	Fidelity Canadian Low Vol Index ETF
FCCQ	Fidelity Canadian High Quality Index ETF
FCGB	Fidelity Global Core Plus Bond ETF
FCGI	Fidelity Glbl Monthly High Income ETF
FCHH	Fidelity Systematic US HI Yld Bd Cn ETF
FCHY	Fidelity Systematic US High Yld Bond ETF
FCID	Fidelity Intl High Dividend Index ETF
FCIL	Fidelity Intl Low Vol Index ETF
FCIQ	Fidelity Intl High Quality Index ETF
FCLH	Fidelity US Low Vol Cur Ntrl Index ETF
FCMI	Fidelity CDN Monthly High Income ETF
FCQH	Fidelity US High Qlty Cur Ntrl Index ETF
FCR.IR	First Capital Realty Inc Instal Receipt
FCR.UN	First Capital REIT Units
FCRH	Fidelity US Div Rising Rates Cur Neu Idx
FCRR	Fidelity US Div For Rising Rates Idx ETF
FCSB	Fidelity Canadian Short Term Corp Bd ETF
FCU	Fission Uranium Corp
FCUD	Fidelity US High Div Index ETF
FCUH	Fidelity US High Div Cur Neu Idx ETF
FCUL	Fidelity US Low Vol Index ETF
FCUQ	Fidelity US High Quality Index ETF
FDE	First Trust Alphadex Emg Mkt Div ETF CAD
FDE.A	First Trust Alphadex Emg Mkt Div CAD AC
FDV	CI First Asset Active CDN Divd ETF
FEBB.F	First Trust CBOE Vest US Eqty ETF Feb
FEC	Frontera Energy Corp
FF	First Mining Gold Corp
FFH	Fairfax Financial Holdings Ltd
FFH.PR.C	Fairfax Fncl Holdings Ltd Pref Ser C
FFH.PR.D	Fairfax Fncl Holdings Ltd Pref Ser D
FFH.PR.E	Fairfax Financial Hldngs Pref Ser E
FFH.PR.F	Fairfax Financial Holdings Pref Ser F
FFH.PR.G	Fairfax Financial Hldngs Pref Ser G
FFH.PR.H	Fairfax Fncl Holdings Ltd Pref Ser H
FFH.PR.I	Fairfax Financial Holdings Series I Pref
FFH.PR.J	Fairfax Fncl Holdings Ltd Pref Ser J
FFH.PR.K	Fairfax Financial Holdings Pref Ser K
FFH.PR.M	Fairfax Financial Holdings Pref Ser M
FFH.U	Fairfax Financial Holdings Limited USD
FFI.UN	Flaherty & Crumrine Fixed Income Fund
FFN	North American Financial 15 Split Corp
FFN.PR.A	North American Fin 15 Split Corp Pref
FGB	CI First Asset Shrt Term Govt Bond Indx Cl ETF
FGO	CI First Asset Enhanced Govt Bond ETF
FGO.U	CI First Asset Enhanced Govt Bond ETF USD
FHB	CI First Asset European Bank ETF
FHC	First Trust US Consmr Staples ETF
FHC.F	First Trust Ad US Consumer Staples ETF
FHD	First Trust US Consmr Dscrtn ETF
FHE	First Trust US Energy ETF
FHF	First Trust US Financial ETF
FHG	First Trust US Industrials ETF
FHH	First Trust US Health Care ETF
FHH.F	First Trust Ad US Health Care ETF
FHI	CI First Asset Hlth Care Giants Cov Call ETF
FHI.B	CI First Asset Hlth Care Giants Cov Call Unh
FHM	First Trust US Materials ETF
FHQ	First Trust US Technology ETF
FHQ.F	First Trust Ad US Technology ETF
FHU	First Trust US Utilities ETF
FIE	Ishares CDN Fin Mthly Income ETF
FIG	CI First Asset Investment Grade Bond ETF
FIG.U	CI First Asset Investment Grade Bond ETF USD
FIH.U	Fairfax India Holdings Corporation USD
FINT	First Trust Intl Capital Strength ETF
FIRE	The Supreme Cannabis Company Inc
FIRE.DB	The Supreme Cannabis CO Inc 6.00 Pct Deb
FLAM	Franklin FTSE US Index ETF
FLB	CI First Asset Long Dur Fixed Inc ETF
FLBA	Franklin Liberty Core Balanced ETF
FLCD	Franklin FTSE Canada All Cap Index ETF
FLCI	Franklin Liberty CDN Invest Grd Corp ETF
FLCP	Franklin Liberty Core Plus Bond ETF
FLDM	Franklin Libertyqt Intl Eqt Index ETF
FLEM	Franklin Libertyqt Emerging Mkts Idx ETF
FLGA	Franklin Liberty Global Agg Bond ETF
FLGD	Franklin Libertyqt Glb Dividend Idx ETF
FLI	CI First Asset US Cda Lifeco Income ETF
FLJA	Franklin FTSE Japan Index ETF
FLOT	Purpose Floating Rate Income Fund ETF
FLOT.B	Purpose Floating Rate Income Fund ETF NH
FLOT.U	Purpose Floating Rate Income Fund USD
FLRM	Franklin Liberty Risk Mngd CDN Eqt ETF
FLSD	Franklin Liberty Short Duration Bond ETF
FLSL	Franklin Liberty Senior Loan ETF
FLUI	Franklin Liberty US Invest Grd Corp ETF
FLUR	Franklin FTSE Europe Ex UK Index ETF
FLUS	Franklin Libertyqt US Eqt Index ETF
FM	First Quantum Minerals Ltd
FN	First National Financial Corp
FN.PR.A	First National Financial Corp Pref A
FN.PR.B	First National Financial Corp Pref B
FNV	Franco-Nevada Corp
FOOD	Goodfood Market Corp
FOOD.DB	Goodfood Market Corp 5.75 Pct Debs
FOUR	Horizons Industry 4.0 Index ETF
FPR	CI First Asset Pref Share ETF
FQC	CI First Asset MSCI Can Quality Index Class ETF
FR	First Majestic Silver Corp Common
FRII	Freshii Inc
FRL.UN	Senior Secured Floating Rate Loan Fund
FRU	Freehold Royalties Ltd
FRX	Fennec Pharmaceuticals Inc
FSB	CI First Asset Enhanced Sh Dur Bond ETF
FSB.U	CI First Asset Enhanced Sh Dur Bond ETF USD
FSF	CI First Asset Global Financial Sector ETF
FSL	First Trust Senior Loan ETF
FSL.A	First Trust Senior Loan ETF Adv Cls
FSR	First Trust DW US Sctr Rtn ETF
FST	First Trust CDN Capital Strength ETF
FST.A	First Trust CDN Capital Strength ETF AC
FSV	Firstservice Corp
FSY	Forsys Metals Corp
FSZ	Fiera Capital Corp
FSZ.DB	Fiera Capital Corp 5.0 Pct Debs
FSZ.DB.A	Fiera Capital Corp 5.60 Pct Debs
FT	Fortune Mnrl J
FTB	First Trust Tactical Bond Index ETF
FTG	Firan Technology Group Corp
FTN	Financial 15 Split Corp
FTN.PR.A	Financial 15 Split Corp
FTS	Fortis Inc
FTS.PR.F	Fortis Inc Pref Shares Series F
FTS.PR.G	Fortis Inc First Pref Ser G
FTS.PR.H	Fortis Inc Pref Ser H
FTS.PR.I	Fortis Inc Pref Ser I
FTS.PR.J	Fortis Inc Pref Ser J
FTS.PR.K	Fortis Inc Pref Ser K
FTS.PR.M	Fortis Inc Pref Ser M
FTT	Finning Intl
FTU	US Financial 15 Split Corp
FTU.PR.B	US Finl 15 Split 2012 Pref Sh
FUD	First Trust Alphadex US Div ETF CAD Hdg
FUD.A	First Trust Value Line Div Idx ETF AC
FVI	Fortuna Silver Mines Inc
FVI.DB.U	Fortuna Silver Mines Inc 4.65 Pct Debs
FVL	Freegold Ventures Limited
FXC	Fax Capital Corp
FXC.WT	Fax Capital Corp Wts
FXM	CI First Asset Morningstar Cda Value ETF
GBT	Bmtc Group Inc
GC	Great Canadian Gaming Corp
GC.DB	Great Canadian Gaming Corp 5.25 Pct Debs
GCG	Guardian Capital
GCG.A	Guardian Capital Group Ltd Cl.A NV
GCL	Colabor Group Inc
GCL.DB.A	Colabor Group Inc 6.0 Pct Debs
GCM	Gran Colombia Gold Corp
GCM.NT.U	Gran Colombia Gold 5.0 Pct Sil Notes
GCM.WT.B	Gran Colombia Gold Corp WT B
GCT.C	Gvic Communications Corp N.V. Class C
GDC	Genesis Land J
GDG.UN	Global Dividend Growers Income Fund
GDI	Gdi Integrated Facility Services Inc
GDI.DB	Gdi Integrated Fclty Svcs 5.0 Pct Debs
GDL	Goodfellow Inc
GDV	Global Dividend Growth Split Corp
GDV.PR.A	Global Dividend Growth Split Corp Pref A
GEC.UN	Global Real Estate & E-Commerce Dividend
GEI	Gibson Energy Inc
GEI.DB	Gibson Energy Inc 5.25 Pct Debs
GEO	Geodrill Limited
GFL	Gfl Environmental Inc
GGA	Goldgroup Mining Inc
GGD	Gogold Resources Inc
GH	Gamehost Inc
GIB.A	CGI Group Inc Cl.A Sv
GIL	Gildan Activewear Inc
GLG	Glg Life Tech Corp
GLO	Global Atomic Corp
GMO	General Moly Inc
GMP	Gmp Capital Inc
GMP.PR.B	Gmp Capital Inc Series B Pref
GMP.PR.C	Gmp Capital Inc Series C Pref
GMX	Globex Mining Enterprises Inc
GOLD	Goldmining Inc
GOOS	Canada Goose Holdings Inc
GPR	Great Panther Silver Limited
GRC	Gold Springs Resource Corp
GRT.UN	Granite Real Estate Investment Trust
GSC	Golden Star
GSV	Gold Standard Ventures Corp
GSY	Goeasy Ltd
GSY.DB	Goeasy Ltd 5.75 Pct Debs
GTE	Gran Tierra Energy Inc
GTMS	Greenbrook Tms Inc
GUD	Knight Therapeutics Inc
GUY	Guyana Goldfields Inc
GVC	Glacier Media Inc
GWO	Great-West Lifeco Inc
GWO.PR.F	Great-West Lifeco Inc
GWO.PR.G	Great-West Lifeco Inc Pr. G
GWO.PR.H	Great-West Lifeco Inc 4.85 % Pr.Ser H
GWO.PR.I	Great-West Lifeco Inc Prf Series I
GWO.PR.L	Great-West Lifeco Inc Pref Ser L
GWO.PR.M	Great West Lifeco Pref Ser M
GWO.PR.N	Great West Lifeco Inc Pref Srs N
GWO.PR.O	Great West Lifeco Pref Ser O
GWO.PR.P	Great West Lifeco Inc 5.4 Pct Pref Sh
GWO.PR.Q	Great West Lifeco Pref Ser Q
GWO.PR.R	Great West Lifeco Inc Ser R
GWO.PR.S	Great West Lifeco Pref Ser S
GWO.PR.T	Great West Lifeco Pref Ser T
GWR	Global Water Resources Inc
GXE	Gear Energy Ltd
GXO	Granite Oil Corp
H	Hydro One Limited
HAB	Horizons Active Corporate Bond ETF
HAC	Horizons Seasonal Rotation ETF
HAD	Horizons Active CDN Bond ETF
HAF	Horizons Active Global Fixed Income ETF
HAJ	Horizons Active Emerging Mkts Div ETF
HAL	Horizons Active CDN Dividend ETF
HARC	Horizons Abs Return Global Currency ETF
HAU	Horizons Active US Dividend ETF
HAU.U	Horizons Active US Dividend ETF USD
HAZ	Horizons Active Global Dividend ETF
HBAL	Horizons Balanced Tri ETF
HBB	Horizons CDN Select Universe Bond ETF
HBC	Hudsons Bay Company
HBD	Betapro Gold Bullion 2X Daily Bear ETF
HBF	Harvest Brand Leaders Plus Income ETF
HBF.U	Harvest Brand Leaders Plus Income ETF USD
HBG	Hamilton Capital Global Bank ETF
HBG.U	Hamilton Capital Global Bank ETF USD
HBGD	Horizons Big Data Hardware Idx ETF
HBL.UN	Brand Leaders Income Fund
HBLK	Blockchain Technologies ETF
HBM	Hudbay Minerals Inc
HBP	Helix Biopharm
HBU	Betapro Gold Bullion 2X Daily Bull ETF
HCB	Hamilton Capital Partners Inc Weight ETF
HCG	Home Capital Group Inc
HCN	Horizons China High Dividend Yield ETF
HCON	Horizons Conservative Tri ETF
HCRE	Horizons Eql Wght Can REIT Index ETF
HDGE	Accelerate Absolute Return Hdg Fund ETF
HDI	Hardwoods Distribution Inc
HE	Hanwei Energy Services Corp
HEA	Horizons Enhd Income US Equity ETF
HEA.U	Horizons Enhd Income US Equity USD ETF
HED	Betapro S&P TSX Cap Engy 2X Dly Bear ETF
HEE	Horizons Enhanced Income Energy ETF
HEF	Horizons Enhanced Income Fin ETF
HEJ	Horizons Enhd Inc Intl Equity ETF
HEMB	Horizons Active Emerging Mkts Bond ETF
HEP	Horizons Enhanced Income Gold Prod ETF
HERO	Evolve E Gaming Index ETF
HERS	Evolve Na Gender Diversity Idx Hgd ETF
HERS.B	Evolve Na Gender Diversity Idx Uh ETF
HEU	Betapro S&P TSX Cap Engy 2X Dly Bull ETF
HEW	Horizons S&P TSX 60 Equal Wgt ETF
HEWB	Horizons Eql Wght Can Banks Index ETF
HEX	Horizons Enhanced Income Equity ETF
HEXO	Hexo Corp
HFA	Hamilton Capital Australian Fin Yld ETF
HFD	Betapro S&P TSX Cap Fncl 2X Dly Bear ETF
HFMU	Hamilton Capital US Mid Financial Etfcad
HFMU.U	Hamilton Capital US Mid Financials ETF
HFP	Horizons Active Flt Rate Pref ETF
HFR	Horizons Active Floating Rate Bond ETF
HFU	Betapro S&P TSX Cap Fncl 2X Dly Bull ETF
HFY	Hamilton Capital Global Fin Yield ETF
HFY.U	Hamilton Capital Glbl Fin Yield ETF USD
HGD	Betapro CDN Gold Miners 2X Dly Bear ETF
HGGG	Harvest Global Gold Giants Index ETF
HGI.UN	Global Telecom and Utilities IN Fd
HGM	Horizons Managed Global Oppt ETF
HGR	Harvest Global REIT Leaders Income ETF
HGRO	Horizons Growth Tri ETF
HGU	Betapro CDN Gold Miners 2X Dly Bull ETF
HGY	Horizons Gold Yield ETF
HHF	Horizons Morningstar Hdg Fd ETF
HHL	Harvest Healthcare Leaders Income ETF
HHL.U	Harvest Healthcare Leaders Income ETF USD
HIG	Brompton Global Healthcare Inc & Gth ETF
HIG.U	Brompton Gbl Health Inc Growth ETF USD
HII	Horizons CDN Insider Index ETF
HIU	Betapro Sp500 Daily Inverse ETF
HIX	Betapro S&P TSX 60 Daily Inverse ETF
HLF	High Liner
HLPR	Horizons Laddered CDN Pref Index ETF
HLS	Hls Therapeutics Inc
HMJI	Betapro Marijuana Cos Inverse ETF
HMJU	Betapro Marijuana Cos 2X Daily Bull ETF
HMM.A	Hammond Manufacturing Co. Ltd Cl A. Sv
HMMJ	Horizons Marijuana Life Sciences ETF
HMMJ.U	Horizons Marijuana Life Sciences Idx USD
HMP	Horizons Active CDN Municipal Bond ETF
HND	Betapro Nat Gas 2X Daily Bear ETF
HNL	Horizon North Logistics Inc
HNU	Betapro Nat Gas 2X Daily Bull ETF
HNY	Horizons Natural Gas Yield ETF
HOD	Betapro Crude Oil 2X Daily Bear ETF
HOG	Horizons CDN Midstream Oil Gas ETF
HOM.U	Bsr Real Estate Investment Trust
HOM.UN	Bsr Real Estate Investment Trust
HOT.DB.U	American Hotel Inc Prop REIT 5 Pct Debs
HOT.U	American Hotel Income Properties REIT US
HOT.UN	American Hotel Income Properties REIT LP
HOU	Betapro Crude Oil 2X Daily Bull ETF
HPF	Harvest Energy Leaders Plus Income ETF
HPF.U	Harvest Energy Leaders Plus Income ETF USD
HPR	Horizons Active Pref Share ETF
HPS.A	Hammond Power Solutions Inc Cl A. Sv
HQD	Betapro Nasdaq 100 2X Daily Bear ETF
HQD.U	Betapro Nasdaq 100 2X Daily Bear ETF USD
HQU	Betapro Nasdaq 100 2X Daily Bull ETF
HR.UN	H&R Real Estate Inv Trust
HRA	Horizons Global Risk Parity ETF
HRES	Harvest Global Resource Leaders ETF
HRR.UN	Australian REIT Income Fund
HRT	Harte Gold Corp
HRX	Heroux-Devtek
HSAV	Horizons Cash Maximizer ETF
HSD	Betapro Sp500 2X Daily Bear ETF
HSE	Husky Energy Inc
HSE.PR.A	Husky Energy Inc Pref Ser 1
HSE.PR.B	Husky Energy Inc Pref Ser 2
HSE.PR.C	Husky Energy Inc Pref Ser 3
HSE.PR.E	Husky Energy Inc Pref Ser 5
HSE.PR.G	Husky Energy Inc Pref Ser 7
HSH	Horizons Sp500 CAD Hedged Index ETF
HSL	Horizons Active Float Rate Sen Loan ETF
HSM	Helius Medical Technologies Inc
HSU	Betapro Sp500 2X Daily Bull ETF
HTA	Harvest Tech Achievers Growth & Income ETF
HTA.U	Harvest Tech Achievers Growth & Income ETF USD
HTB	Horizons US 7 To 10 Yr Treasury Bond ETF
HTB.U	Horizons US 7 To 10 Yr Treas Bd ETF USD
HTH	Horizons US 7 10 Yr Treas Bd CAD Heg ETF
HUBL	Harvest US Bank Leaders Income ETF
HUBL.U	Harvest US Bank Leaders Income ETF USD
HUC	Horizons Crude Oil ETF
HUF	Horizons Active US Float Rate Bd ETF CAD
HUF.U	Horizons Active US Floating Rate Bd ETF
HUG	Horizons Gold ETF
HUIB	Harvest US Investment Grade Bnd Plus ETF
HUL	Harvest US Equity Plus Income ETF
HUL.U	Harvest US Equity Plus Income ETF USD
HULC	Horizons US Large Cap Index ETF
HULC.U	Horizons US Large Cap Index ETF USD
HUN	Horizons Natural Gas ETF
HURA	Horizons Global Uranium Index ETF
HUT	Hut 8 Mining Corp
HUTL	Harvest Eql Wght Glb Util Income ETF
HUV	Betapro Sp500 VIX ST Ftrs ETF
HUZ	Horizons Silver ETF
HWF	Middlefield Health Wellness ETF
HWO	High Arctic Energy Services Inc
HWX	Headwater Exploration Inc
HXCN	Horizons SP TSX Capped Comp Index ETF
HXD	Betapro S&P TSX 60 2X Daily Bear ETF
HXDM	Horizons Intl Dev Mkts Equity Index ETF
HXDM.U	Horizons Intl Dev Mkts Eqty Idx USD ETF
HXE	Horizons S&P TSX Capped Energy Index ETF
HXF	Horizons S&P TSX Capped Fncl Index ETF
HXH	Horizons CDN High Dividend Index ETF
HXQ	Horizons Nasdaq 100 Index ETF
HXQ.U	Horizons Nasdaq 100 Index ETF USD
HXS	Horizons S&P 500 Index ETF
HXS.U	Horizons S&P 500 Index ETF USD
HXT	Horizons S&P Tsx60 Index ETF
HXT.U	Horizons S&P TSX 60 Index ETF USD
HXU	Betapro S&P TSX 60 2X Daily Bull ETF
HXX	Horizons Euro Stoxx 50 Index ETF
HYI	Horizons Active High Yield Bond ETF
HZD	Betapro Silver 2X Daily Bear ETF
HZM	Horizonte Minerals Plc
HZU	Betapro Silver 2X Daily Bull ETF
IAF.PR.B	Industrial Alliance Cl A Pref Ser B
IAF.PR.G	Industrial Alliance Cl A Pref Ser G
IAF.PR.I	Industrial Alliance Cl A Pref Ser I
IAG	Industrial Alliance Ins & Fin Srv Inc
IBG	Ibi Group Inc
IBG.DB.D	Ibi Group Inc 5.50 Pct Debs
ICE	Canlan ICE Sports Corp
ICPB	IA Clarington Core Plus Bond Fund
IDG	Indigo Books & Music Inc
IDR	Middlefield REIT Indexplus ETF
IEMB	IA Clarington Emerging Mkts Bond Fund
IFA	Ifabric Corp
IFC	Intact Financial Corp
IFC.PR.A	Intact Financial Corp Pref Cl A
IFC.PR.C	Intact Financial Corp Pref Cl A
IFC.PR.D	Intact Financial Corp Pref Shares Ser 4
IFC.PR.E	Intact Financial Corp Pref Cl A Ser 5
IFC.PR.F	Intact Financial Corp Pref Shares Ser 6
IFC.PR.G	Intact Financial Corp Pref Shares Ser 7
IFC.PR.I	Intact Financial Corp Pref Shares Ser 9
IFP	Interfor Corp
IFRF	IA Clarington Floating Rate Income ETF
IGAF	IA Clarington Global Allocation Fund ETF
IGB	Purpose Mngd Duration Invest Bond ETF
IGCF	Pimco Investment Grade Credit Fund
IGLB	IA Clarington Global Bond Fund
IGM	Igm Financial Inc
III	Imperial Metals Corp
IIP.UN	Interrent Real Estate Investment Trust
ILV	Powershares S&P Intl Dev Low Vol ETF
ILV.F	Invesco SP Intl Dev Low Vol ETF Hedged
IMG	Iamgold Corp
IMO	Imperial Oil
IMP	Intermap Tech Corp
IMV	Imv Inc.
IN	Inmed Pharmaceuticals IN
IN.WT	Inmed Pharmaceuticals Inc WT
INC.UN	Income Fin Un
INE	Innergex Renewable Energy Inc
INE.DB.B	Innergex Renewable Energy 4.75 Pct Debs
INE.DB.C	Innergex Renewable Energy 4.65 Pct Debs
INE.PR.A	Innergex Renewable Energy Pref Ser A
INE.PR.C	Innergex Renewable Energy Inc Pref Ser C
INO.UN	Inovalis REIT
INOC	Horizons Inovestor CDN Equity Index ETF
INQ	Inscape Corp Sv
INV	Inv Metals Inc
IPCI	Intellipharmaceutics International Inc
IPCO	International Petroleum Corp
IPL	Inter Pipeline Ltd
IPLP	Ipl Plastics Inc
IPO	Inplay Oil Corp
IQD	Wisdomtree Intl Qlty Div Gwth ETF
IQD.B	Wisdomtree Intl Qlty Div Gwth ETF NH
IRON	Alderon Iron Ore Corp
ISIF	IA Claringtion Strategic Income Fund ETF
ISV	Information Services Corp
ITH	International Tower Hill Mines Ltd
ITP	Intertape Polymer
IVN	Ivanhoe Mines Ltd
IVQ	Invesque Inc CAD
IVQ.DB.U	Invesque Inc 5.00 Pct Debs
IVQ.DB.V	Invesque Inc 6.00 Pct Debs USD
IVQ.U	Invesque Inc
JAG	Jaguar Mining Inc
JAPN	Wisdomtree Japan Equity Index ETF
JAPN.B	Wisdomtree Japan Equity Index ETF NH
JE	Just Energy Group Inc
JE.DB.C	Just Energy Group Inc 6.75 Pct Debs
JE.DB.D	Just Energy Group Inc 6.75 Pct Debs
JE.PR.U	Just Energy Group Inc Pref USD
JFS.UN	Jft Strategies Fund
JOSE	Josemaria Resources Inc
JOY	Journey Energy Inc
JWEL	Jamieson Wellness Inc
K	Kinross Gold Corp
KAT	Katanga Mining Limited
KBL	Kbro Linen Inc
KEG.UN	Keg Royalties Income Fund
KEL	Kelt Exploration Ltd
KEL.DB	Kelt Exploration Ltd 5.0 Pct Debs
KER	Kerr Mines Inc
KEY	Keyera Corp
KILO	Purp Gld Bullion Tu
KILO.B	Purpose Gold Bullion Fund Non Hedged
KILO.U	Purpose Gold Bullion Fund Non Hedged USD
KL	Kirkland Lake Gold Ltd
KLS	Kelso Technologies Inc
KMP.UN	Killam Apartment REIT
KOR	Corvus Gold Inc
KPT	Kp Tissue Inc
KRN	Karnalyte Resources Inc
KXS	Kinaxis Inc
L	Loblaw CO
L.PR.B	Loblaw Companies Ltd 2nd Pref Ser B
LABS	Medipharm Labs Corp
LAC	Lithium Americas Corp
LAM	Laramide Resources Ltd
LAS.A	Lassonde Industries Inc Cl A Sv
LB	Laurentian Bank
LB.PR.H	Laurentian Bank of Cda Pr Ser 13
LB.PR.J	Laurentian Bank of Cda Pr Ser 15
LBS	Life & Banc Split Corp
LBS.PR.A	Life & Banc Split Corp
LCS	Brompton Lifeco Split Corp Class A
LCS.PR.A	Brompton Lifeco Split Corp Pref Shares
LFE	Canadian Life Companies Split Corp
LFE.PR.B	Canadian Life Split 2012 Pref Sh
LGD	Liberty Gold Corp
LGO	Largo Resources Ltd
LGT.A	Logistec Corporation Cl.A Mv
LGT.B	Logistec Corporation Cl.B Sv
LIF	Labrador Iron Ore Royalty Corp
LIFE	Evolve Glbl Healthcare Enhance Yld ETF
LIFE.B	Evolve Glbl Healthcare Enhance Yld Unheg
LIFE.U	Evolve Glbl Healthcare Yld Fund ETF USD
LMC	Leagold Mining Corp
LMNL	Liminal Biosciences Inc
LN	Loncor Resources Inc
LNF	Leons Furniture
LNR	Linamar Corp
LS	Middlefield Healthcare Life Sciences ETF
LSPD	Lightspeed Pos Inc
LUC	Lucara Diamond Corp
LUG	Lundin Gold Inc
LUN	Lundin Mining Corp
LXR	Lxrandco Inc
MAG	MAG Silver Corp
MAL	Magellan Aero
MAV	Mav Beauty Brands Inc
MAW	Mawson Resources Ltd
MAX	Midas Gold Inc
MAXR	Maxar Technologies Inc
MBA	Cibt Education Group Inc
MBK.UN	Manulife US Regional Bank Trust
MBN	Mbn Corp
MBX	Microbix J
MCB	Mccoy Global Inc
MCLC	Manulife Mltfactor CDN Large Cap Uh ETF
MCSB	Mackenzie CDN Short Term Fixed Inc ETF
MCSM	Manulife Mulfact CDN Smid Cap Idx ETF
MDC.UN	Digital Consumer Dividend Fund
MDF	Mediagrif Interac
MDI	Major Drilling Grp
MDNA	Medicenna Therapeutics Corp
MDS.UN	Healthcare Special Opp Fund
ME	Moneta Porcupine J
MEE	Mackenzie Max Diverse Emg Mkts ETF
MEG	Meg Energy Corp
MEME.B	Manulife Multifactor Emerg Mkts Idx ETF
MEQ	Mainstreet Eq J
MEU	Mackenzie Max Diversif Dev EUR ETF
MFC	Manulife Fin
MFC.PR.B	Manulife Financial Cl A Pref Ser 2
