Symbol	Description
BAM.PR.X	Brookfield Am Pref Ser 28
BAM.PR.Z	Brookfield Asset Mgmt Inc Pr Ser 30
BAR	Balmoral Resources Ltd
BASE	Evolve Glob Matls Mining Enh Yld Idx ETF
BASE.B	Evolve Glob Matls Mining Enh Yld Unhgd
BB	Blackberry Limited
BB.DB.V	Blackberry Limited 3.75 Pct Debs USD
BBD.A	Bombardier Inc Cl A Mv
BBD.B	Bombardier Inc Cl B Sv
BBD.PR.B	Bombardier 2 Pr
BBD.PR.C	Bombardier Inc Pref Class C
BBD.PR.D	Bombardier Inc Pref Ser 3
BBL.A	Brampton Brick Ltd Cl.A Sv
BBU.UN	Brookfield Business Partners LP
BC.U	Bespoke Capital Acquisition Class A USD
BC.WT.U	Bespoke Capital Acquisition Corp WT
BCB	Cott Corp
BCE	BCE Inc
BCE.PR.A	BCE First Pr Shares Series Aa
BCE.PR.B	BCE Inc First Pr Shares Series Ab
BCE.PR.C	BCE Inc Pr Shares Series AC
BCE.PR.D	BCE Inc Pref Shares Series Ad
BCE.PR.E	BCE 1st Pref Shares Series Ae
BCE.PR.F	BCE 1st Pref Shares Series Af
BCE.PR.G	BCE 1st Pref Shares Series Ag
BCE.PR.H	BCE 1st Pref Shares Series Ah
BCE.PR.I	BCE 1st Pref Shares Series Ai
BCE.PR.J	BCE Inc Pref Sh Series Aj
BCE.PR.K	BCE Inc Pref Ser AK
BCE.PR.L	BCE Inc Pref Ser AL
BCE.PR.M	BCE Inc Pref Shares Series Am
BCE.PR.N	BCE Inc Pref Shares Series An
BCE.PR.O	BCE Inc Pref Shares Series Ao
BCE.PR.Q	BCE Inc Pref Shares Series Aq
BCE.PR.R	BCE Inc Ser R
BCE.PR.S	BCE Inc Ser S
BCE.PR.T	BCE Inc First Pref Series T
BCE.PR.Y	BCE Inc Ser Y Pr
BCE.PR.Z	BCE Inc Series Z
BCI	New Look Vision Group Inc
BDI	Black Diamond Group Ltd
BDIV	Brompton Global Dividend Growth ETF
BDT	Bird Construction Inc
BEI.UN	Boardwalk Real Estate Investment Trust
BEK.B	Becker Milk Company Ltd Cl.B NV
BEP.PR.E	Brookfield Renewable LP Pref Ser 5
BEP.PR.G	Brookfield Renewable LP Pref Ser 7
BEP.PR.I	Brookfield Renewable Pref Ser 9
BEP.PR.K	Brookfield Renewable LP Pref Ser 11
BEP.PR.M	Brookfield Renewable LP Pref Ser 13
BEP.PR.O	Brookfield Renewable Partners L.P.
BEP.UN	Brookfield Renewable Partners LP
BFIN	Brompton Na Financials Dividend ETF
BFIN.U	Brompton Na Financials Dividend ETF USD
BGC	Bristol Gate Concentrated CDN Eqty ETF
BGI.UN	Brookfield Glbl Infras Sec Inc Fd
BGU	Bristol Gate Concentrated US Eqty ETF
BGU.U	Bristol Gate Conc US Eqty ETF USD
BHC	Bausch Health Companies Inc
BIK.PR.A	Bip Investment Corp Pref Ser 1
BIP.PR.A	Brookfield Infra Partners LP Pref Ser 1
BIP.PR.B	Brookfield Infra Partners LP Pref Ser 3
BIP.PR.C	Brookfield Infra Partners LP Pref Ser 5
BIP.PR.D	Brookfield Infra Partners LP Pref Ser 7
BIP.PR.E	Brookfield Infra Partners LP Pref Ser 9
BIP.PR.F	Brookfield Infra Partners LP Pref Ser 11
BIP.UN	Brookfield Infra Partners LP Units
BIR	Birchcliff Energy Ltd
BIR.PR.A	Birchcliff Energy Ltd Pref Sh A
BIR.PR.C	Birchcliff Energy Ltd Pref Ser C
BK	Canadian Banc Corp
BK.PR.A	Canadian Banc Corp Pref A
BKCH	Horizons Blockchain Tech Hardware ETF
BKCH.U	Horizons Blockchain Tech Hardware Etfusd
BKI	Black Iron Inc
BKL.C	Invesco Senior Loan Index ETF
BKL.F	Powershares Senior Loan Index ETF
BKL.U	Invesco Senior Loan Index USD ETF
BKX	Bnk Petroleum Inc
BL.UN	Global Innovation Dividend Fund
BLB.UN	Bloom Select Income Fund
BLCK	First Trust Indxx Innov Trans Proc ETF
BLDP	Ballard Power Systems Inc
BLU	Bellus Health Inc
BLX	Boralex Inc
BMO	Bank of Montreal
BMO.PR.A	BMO Pref Shares Series 26
BMO.PR.B	BMO Pref Shares Series 38
BMO.PR.C	BMO Pref Shares Series 40
BMO.PR.D	BMO Pref Shares Series 42
BMO.PR.E	BMO Pref Shares Series 44
BMO.PR.F	BMO Pref Shares Series 46
BMO.PR.Q	Bank of Montreal B Pref Sh Ser 25
BMO.PR.S	BMO Cl B Pref Shares Ser 27
BMO.PR.T	BMO Non Cum Cl B Prf Share Series 29
BMO.PR.W	BMO Cl B Pref Shares Ser 31
BMO.PR.Y	Bank of Montreal Pref Ser 33
BMO.PR.Z	Bank of Montreal Pref Ser 35
BNC	Purpose CDN Financial Income Fund ETF
BND	Purpose Tactical Inv Grade Bond ETF
BNE	Bonterra Energy Corp
BNG	Bengal Energy Ltd
BNP	Bonavista Energy Corp
BNS	Bank of Nova Scotia
BNS.PR.D	Bns Pref Shares Series 31
BNS.PR.E	Bns Pref Shares Series 34
BNS.PR.F	Bns Pref Shares Series 33
BNS.PR.G	Bns Pref Shares Series 36
BNS.PR.H	Bns Pref Shares Series 38
BNS.PR.I	Bns Preferred Shares Series 40
BNS.PR.Y	Bank of Nova Scotia 5 Yr Pref Ser 30
BNS.PR.Z	Bns Pref Ser 32
BOS	Airboss America J
BOY	Boyuan Construction Group Inc
BPF.UN	Boston Pizza Royalties Income Fund
BPO.PR.A	Brookfield Office Properties Pref Ser Aa
BPO.PR.C	Brookfield Office Properties Pref Ser CC
BPO.PR.E	Brookfield Office Properties Pref Ser Ee
BPO.PR.G	Brookfield Office Properties Pref Ser G
BPO.PR.I	Brookfield Office Properties Pref Ser II
BPO.PR.N	Brookfield Office Properties Pref Ser N
BPO.PR.P	Brookfield Office Properties Pref Ser P
BPO.PR.R	Brookfield Office Properties Pref Ser R
BPO.PR.S	Brookfield Office Properties Pref Ser S
BPO.PR.T	Brookfield Office Properties Pref Ser T
BPO.PR.W	Brookfield Office Properties Pref Ser W
BPO.PR.X	Brookfield Office Properties Pref Ser V
BPO.PR.Y	Brookfield Office Properties Pref Ser Y
BPRF	Bf and Crumrine Invest Grade Pref ETF
BPRF.U	Bf and Crumrine Invgrade Pref ETF USD
BPS.PR.A	Brookfield Property Split Pref Ser 2
BPS.PR.B	Brookfield Property Split Pref Ser 3
BPS.PR.C	Brookfield Property Split Pref Ser 4
BPS.PR.U	Brookfield Property Split Pref Ser 1
BPY.UN	Brookfield Property Partners LP
BR	Big Rock Brewery Inc
BRE	Brookfield Real Estate Services Inc
BRF.PR.A	Brookfield Renewable Pref Cl A Ser 1
BRF.PR.B	Brookfield Renewable Pref Cl A Ser 2
BRF.PR.C	Brookfield Renewable Power Pref Eqty Inc
BRF.PR.E	Brookfield Renewable Power Pref Eqt Sr 5
BRF.PR.F	Brookfield Renewable Power Pref Eqt Sr 6
BRY	Bri Chem Corp
BSC	Bns Split Corp II
BSC.PR.C	Bns Split Corp II Pref B Series 2
BSO.UN	Brookfield Select Opportunities Inc Fund
BSX	Belo Sun Mining Corp
BTB.DB.F	Btb REIT 7.15 Pct Debs
BTB.DB.G	Btb REIT 6.0 Pct Debs
BTB.UN	Btb REIT Units
BTE	Baytex Energy Corp
BTO	B2Gold Corp
BU	Burcon Nutrascience Corp
BUA.UN	Bloom US Income and Growth Fund
BUI	Buhler Ind
BXF	CI First Asset 1 To 5 Yr Lad Gov Stp Bd ETF
BYD	Boyd Group Services Inc
BYL	Baylin Technologies Inc
BYL.DB	Baylin Technologies Inc 6.5 Pct Debs
CACB	CIBC Active Invst Grade Corp Bond ETF
CAE	Cae Inc
CAFR	CIBC Act Invst Grade Float Rate Bond ETF
CAGG	Wisdomtree Yld Enh CDN Agrt Bondetf
CAGS	Wisdomtree Yld Enh CDN ST Agg Bdetf
CAL	Caledonia Mining Corporation Plc
CALL	Evolve US Banks Enhanced Yield ETF
CALL.B	Evolve US Banks Enhanced Yield Unheg
CALL.U	Evolve US Banks Enhanced Yld Fd ETF USD
CAN	Horizons Canadian Dollar Currency ETF
CAR.UN	CDN Apartment Un
CARS	Evolve Automobile Innovation Idx Hgd ETF
CARS.B	Evolve Automobile Innovation Idx Uh ETF
CARS.U	Evolve Automobile Innovation Idx Fd USD
CAS	Cascades Inc
CBH	Ishares 1-10 Yr Laddered Corp Bond ETF
CBO	Ishares 1-5Yr Laddered Corp Bond ETF
CBT.UN	June 2020 Corporate Bond Trust
CCA	Cogeco Communications Inc
CCL.A	Ccl Inc Cl A
CCL.B	Ccl Industries Inc Cl B NV
CCM	Canarc Res J
CCO	Cameco Corp
CCS.PR.C	Co-Operators Gen Ins Cl E Prf
CCX	Canadian Crude Oil Index ETF
CDAY	Ceridian Hcm Holdings Inc
CDD.UN	Core Canadian Dividend Trust
CDH	Corridor Resources Inc
CDV	Cardinal Resources Limited
CDZ	Ishares S&P TSX CDN Dividend ETF
CEE	Centamin Plc
CEF	Sprott Physical Gold Silver Trust
CEF.U	Central Fund of Canada Ltd Cl.U NV
CERV	Cervus Equipment Corp
CET	Cathedral Energy Services Ltd
CEU	Ces Energy Solutions Corp
CEW	Ishares Equal Weight Banc Lifeco ETF
CF	Canaccord Genuity Group Inc
CF.DB.A	Canaccord Genuity Group 6.25 Pct Debs
CF.PR.A	Canaccord Genuity Group Inc Pref A
CF.PR.C	Canaccord Genuity Group Inc Pref C
CFF	Conifex Timber Inc
CFLX	CIBC Flexible Yield ETF Hedged
CFP	Canfor Corp
CFW	Calfrac Well Services Ltd
CFX	Canfor Pulp Products Inc
CG	Centerra Gold Inc
CGAA	CI First Asset Glb Asset Allocation ETF
CGG	China Gold Int Resources Corp
CGI	CDN General Inv
CGI.PR.D	Canadian General Inv Ltd Pref Ser 4
CGL	Ishares Gold Bullion ETF Hdg
CGL.C	Ishares Gold Bullion ETF Non Hdg
CGO	Cogeco Inc Sv
CGR	Ishares Global Real Estate ETF
CGT	Columbus Gold Corp
CGX	Cineplex Inc
CGXF	CI First Asset Gld  Giants Cvr Call ETF
CGY	Calian Group Ltd
CHB	Ishares US HY Fixed Income Index ETF
CHE.DB.B	Chemtrade Logistics If 5.25 Pct Debs
CHE.DB.C	Chemtrade Logistics Income Fund 5.0 Debs
CHE.DB.D	Chemtrade Logistics Inc Fd 4.75 Pct Debs
CHE.DB.E	Chemtrade Logistics If 6.50 Pct Debs
CHE.UN	Chemtrade Logistics Income Fund
CHH	Centric Health Corp
CHNA.B	Wisdomtree Icbccs S&P China 500 Idx ETF
CHP.UN	Choice Properties REIT
CHR	Chorus Aviation Inc
CHR.DB.A	Chorus Aviation Inc 5.75 Pct Debs
CHW	Chesswood Group Limited
CIA	Champion Iron Limited
CIC	CI First Asset Canbanc Income Class ETF
CIF	Ishares Global Infrastructure Index ETF
CIGI	Colliers International Group Inc
CIQ.UN	Canadian High Income Equity Fund
CIU.PR.A	Cu Inc Pref Shares
CIU.PR.C	Cu Inc Pref Ser 4
CIX	CI Financial Corp
CJ	Cardinal Energy Ltd
CJ.DB	Cardinal Energy Ltd 5.50 Pct Debs
CJR.B	Corus Entertainment Inc Cl.B NV
CJT	Cargojet Inc
CJT.DB.D	Cargojet Inc 5.75 Pct Debs
CJT.DB.E	Cargojet Inc 5.75 Pct Debs
CKE	Chinook Energy Inc
CKI	Clarke Inc
CKI.DB	Clarke Inc 6.25 Pct Debs
CLF	Ishares 1-5 Yr Ladder Govt Bond ETF
CLG	Ishares 1-10 Yr Ladder Govt Bond ETF
CLIQ	Alcanna Inc
CLIQ.DB	Alcanna Inc 4.70 Pct Debs
CLQ	Clean Teq Holdings Limited
CLR	Clearwater Seafoods Incorporated
CLS	Celestica Inc Sv
CM	Canadian Imperial Bank of Commerce
CM.PR.O	CIBC Pref Ser 39
CM.PR.P	CIBC Pref Ser 41
CM.PR.Q	CIBC Pref Ser 43
CM.PR.R	CIBC Pref Ser 45
CM.PR.S	CIBC Pref Series 47
CM.PR.T	CIBC Pref Series 49
CM.PR.Y	CIBC Pref Series 51
CMAG	CI Munro Alt Global Growth ETF
CMAR	CI Marret Alt Absolute Return Bnd ETF
CMAR.U	CI Marret Alt Absolute Rtrn Bnd ETF USD
CMCE	CIBC Multifactor Canadian Equity ETF
CMG	Computer Modelling Group Ltd
CMMC	Copper Mountain Mining Corp
CMR	Ishares Premium Money Market ETF
CMUE	CIBC Multifactor US Equity ETF
CMUE.F	CIBC Multifactor US Equity ETF Hedged
CNE	Canacol Energy Ltd
CNL	Continental Gold Inc
CNQ	CDN Natural Res
CNR	Canadian National Railway Co.
CNT	Century Global Commodities Corp
CNU	Cnooc Limited
COG	Condor Gold Plc
COMM	BMO Global Communications Index ETF
COP	Coro Mining Corp
CORP	Exemplar Investment Grade Fund
CORV	Correvio Pharma Corp
COW	Ishares Global Agri Index ETF
CP	Canadian Pacific Railway Limited
CPD	Ishares S&P TSX CDN Pref ETF
CPG	Crescent Point Energy Corp
CPH	Cipher Pharmaceuticals Inc
CPI	Condor Petroleum Inc
CPX	Capital Power Corp
CPX.PR.A	Capital Power Corporation Pref Ser 1
CPX.PR.C	Capital Power Corp Pref Ser 3
CPX.PR.E	Capital Power Corporation Pref Ser 5
CPX.PR.G	Capital Power Corporation Pref Ser 7
CPX.PR.I	Capital Power Corporation Pref Ser 9
CPX.PR.K	Capital Power Corporation Pref Series 11
CQE	Cequence Energy Ltd
CR	Crew Energy Inc
CRDL	Cardiol Therapeutics Inc
CRDL.WT	Cardiol Therapeutics Inc WT
CRED	CI Lawrence Park Alt Invest Grd Crdt ETF
CRED.U	CI Lawrence Park Alt Inv Grd Crt ETF USD
CRH	CRH Medical Corp
CRON	Cronos Group Inc
CRP	Ceres Global Ag Corp
CRR.UN	Crombie Real Estate Investment Trust
CRT.UN	CT Real Estate Investment Trust
CRWN	Crown Capital Partners Inc
CRWN.DB	Crown Capital Partners Inc 6.0 Pct Debs
