Date,Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Vol_10wk_ma,Close_10wk_ma,Close_40wk_ma,Close_5d_ma,Close_10d_ma,Close_20d_ma,DailyLag,DailyReturn
2018-03-27,2018-03-27,173.68,175.15,166.92,168.34,38962839.0,0.0,1.0,173.68,175.15,166.92,168.34,38962839.0,,,,,,,,
2018-03-26,2018-03-26,168.07,173.1,166.44,172.77,36272617.0,0.0,1.0,168.07,173.1,166.44,172.77,36272617.0,,,,,,,168.34,-0.02564102564102566
2018-03-23,2018-03-23,168.39,169.92,164.94,164.94,40248954.0,0.0,1.0,168.39,169.92,164.94,164.94,40248954.0,,,,,,,172.77,0.047471807930156595
2018-03-22,2018-03-22,170.0,172.68,168.6,168.845,41051076.0,0.0,1.0,170.0,172.68,168.6,168.845,41051076.0,,,,,,,164.94,-0.023127720690574227
2018-03-21,2018-03-21,175.04,175.09,171.26,171.27,35247358.0,0.0,1.0,175.04,175.09,171.26,171.27,35247358.0,,,,169.233,,,168.845,-0.014158930343901477
2018-03-20,2018-03-20,175.24,176.8,174.94,175.24,19314039.0,0.0,1.0,175.24,176.8,174.94,175.24,19314039.0,,,,170.613,,,171.27,-0.022654645058205913
2018-03-19,2018-03-19,177.32,177.47,173.66,175.3,32804695.0,0.0,1.0,177.32,177.47,173.66,175.3,32804695.0,,,,171.119,,,175.24,-0.0003422703936110105
2018-03-16,2018-03-16,178.65,179.12,177.62,178.02,36836456.0,0.0,1.0,178.65,179.12,177.62,178.02,36836456.0,,,,173.73499999999999,,,175.3,-0.015279182114369183
2018-03-15,2018-03-15,178.5,180.24,178.0701,178.65,22584565.0,0.0,1.0,178.5,180.24,178.0701,178.65,22584565.0,,,,175.696,,,178.02,-0.0035264483627204246
2018-03-14,2018-03-14,180.32,180.52,177.81,178.44,29075469.0,0.0,1.0,180.32,180.52,177.81,178.44,29075469.0,,,,177.13000000000002,173.1815,,178.65,0.0011768661735036545
2018-03-13,2018-03-13,182.59,183.5,179.24,179.97,31168404.0,0.0,1.0,182.59,183.5,179.24,179.97,31168404.0,,,,178.07600000000002,174.3445,,178.44,-0.008501416902817138
2018-03-12,2018-03-12,180.29,182.39,180.21,181.72,32055405.0,0.0,1.0,180.29,182.39,180.21,181.72,32055405.0,,,,179.36000000000004,175.23950000000002,,179.97,-0.009630200308166414
2018-03-09,2018-03-09,177.96,180.0,177.39,179.98,31385134.0,0.0,1.0,177.96,180.0,177.39,179.98,31385134.0,,,,179.75200000000004,176.7435,,181.72,0.009667740860095586
2018-03-08,2018-03-08,175.48,177.12,175.07,176.94,23163767.0,0.0,1.0,175.48,177.12,175.07,176.94,23163767.0,,,,179.41000000000005,177.55300000000003,,179.98,0.017180965298971396
2018-03-07,2018-03-07,174.94,175.85,174.27,175.03,31703462.0,0.0,1.0,174.94,175.85,174.27,175.03,31703462.0,,,,178.72800000000007,177.92900000000003,,176.94,0.010912415014568966
2018-03-06,2018-03-06,177.91,178.25,176.13,176.67,23788506.0,0.0,1.0,177.91,178.25,176.13,176.67,23788506.0,,,,178.06800000000007,178.07200000000003,,175.03,-0.009282843719929712
2018-03-05,2018-03-05,175.21,177.74,174.52,176.82,28401366.0,0.0,1.0,175.21,177.74,174.52,176.82,28401366.0,,,,177.08800000000005,178.22400000000002,,176.67,-0.0008483203257549921
2018-03-02,2018-03-02,172.8,176.3,172.45,176.21,38453950.0,0.0,1.0,172.8,176.3,172.45,176.21,38453950.0,,,,176.33400000000006,178.04300000000003,,176.82,0.003461778559673112
2018-03-01,2018-03-01,178.54,179.775,172.66,175.0,48801970.0,0.0,1.0,178.54,179.775,172.66,175.0,48801970.0,,,,175.94600000000005,177.67800000000003,,176.21,0.006914285714285651
2018-02-28,2018-02-28,179.26,180.615,178.05,178.12,33604574.0,0.0,1.0,179.26,180.615,178.05,178.12,33604574.0,,,,176.56400000000008,177.64600000000002,175.41375000000002,175.0,-0.017516281158769353
2018-02-27,2018-02-27,179.1,180.48,178.16,178.39,38685165.0,0.0,1.0,179.1,180.48,178.16,178.39,38685165.0,,,,176.9080000000001,177.488,175.91625000000002,178.12,-0.0015135377543583628
2018-02-26,2018-02-26,176.35,179.39,176.21,178.97,36886432.0,0.0,1.0,176.35,179.39,176.21,178.97,36886432.0,,,,177.3380000000001,177.213,176.22625,178.39,-0.0032407666089289133
2018-02-23,2018-02-23,173.67,175.65,173.54,175.555,33329232.0,0.0,1.0,173.67,175.65,173.54,175.555,33329232.0,,,,177.2070000000001,176.7705,176.757,178.97,0.01945259320440873
2018-02-22,2018-02-22,171.8,173.95,171.71,172.6,30504116.0,0.0,1.0,171.8,173.95,171.71,172.6,30504116.0,,,,176.7270000000001,176.33649999999997,176.94475,175.555,0.017120509849362753
2018-02-21,2018-02-21,172.83,174.12,171.01,171.07,35833514.0,0.0,1.0,172.83,174.12,171.01,171.07,35833514.0,,,,175.31700000000006,175.9405,176.93475,172.6,0.00894370725434035
2018-02-20,2018-02-20,172.05,174.26,171.42,171.85,33531012.0,0.0,1.0,172.05,174.26,171.42,171.85,33531012.0,,,,174.00900000000007,175.45849999999996,176.76525,171.07,-0.004538842013383726
2018-02-16,2018-02-16,172.36,174.82,171.77,172.43,39638793.0,0.0,1.0,172.36,174.82,171.77,172.43,39638793.0,,,,172.70100000000008,175.01949999999997,176.62175,171.85,-0.003363683813721541
2018-02-15,2018-02-15,169.79,173.09,169.0,172.99,50609595.0,0.0,1.0,169.79,173.09,169.0,172.99,50609595.0,,,,172.18800000000005,174.69749999999996,176.37025,172.43,-0.00323718133996187
2018-02-14,2018-02-14,163.045,167.54,162.88,167.37,39669178.0,0.0,1.0,163.045,167.54,162.88,167.37,39669178.0,,,,171.14200000000008,173.93449999999999,175.80625,172.99,0.03357829957579028
2018-02-13,2018-02-13,161.95,164.75,161.65,164.34,32104756.0,0.0,1.0,161.95,164.75,161.65,164.34,32104756.0,,,,169.7960000000001,172.55649999999997,175.10125,167.37,0.018437385907265513
2018-02-12,2018-02-12,158.5,163.89,157.51,162.71,60560145.0,0.0,1.0,158.5,163.89,157.51,162.71,60560145.0,,,,167.9680000000001,170.9885,174.23825000000002,164.34,0.010017823120889835
2018-02-09,2018-02-09,157.07,157.89,150.24,155.97,66723743.0,0.0,1.0,157.07,157.89,150.24,155.97,66723743.0,,,,164.6760000000001,168.68849999999998,172.95075000000003,162.71,0.04321343848175929
2018-02-08,2018-02-08,160.29,161.0,155.03,155.32,49594129.0,0.0,1.0,160.29,161.0,155.03,155.32,49594129.0,,,,161.1420000000001,166.66499999999996,171.71775000000002,155.97,0.004184908575843416
