Date,Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume,Vol_10wk_ma,Close_10wk_ma,Close_40wk_ma,Close_5d_ma,Close_10d_ma,Close_20d_ma,DailyLag,DailyReturn
2018-01-18,2018-01-18,1293.95,1304.6,1284.02,1293.32,3941007.0,0.0,1.0,1293.95,1304.6,1284.02,1293.32,3941007.0,,,,1327.0519999999983,1372.2409999999984,1387.0449999999996,1294.58,0.0009742368478025121
2018-01-17,2018-01-17,1312.24,1314.0,1280.88,1295.0,5166748.0,0.0,1.0,1312.24,1314.0,1280.88,1295.0,5166748.0,,,,1314.5499999999981,1356.5759999999984,1379.2424999999998,1293.32,-0.0012972972972973285
2018-01-16,2018-01-16,1323.0,1339.94,1292.3,1304.86,7111172.0,0.0,1.0,1323.0,1339.94,1292.3,1304.86,7111172.0,5972802.56,,,1303.013999999998,1343.2799999999984,1373.7599999999998,1295.0,-0.007556366200205278
2018-01-12,2018-01-12,1273.39,1305.76,1273.39,1305.2,5360681.0,0.0,1.0,1273.39,1305.76,1273.39,1305.2,5360681.0,5944150.6,,,1298.591999999998,1332.0319999999986,1369.7085,1304.86,-0.000260496475635974
2018-01-11,2018-01-11,1259.74,1276.77,1256.46,1276.68,3075315.0,0.0,1.0,1259.74,1276.77,1256.46,1276.68,3075315.0,5894704.54,,,1295.0119999999981,1319.4949999999985,1366.5929999999998,1305.2,0.022339192279976272
2018-01-10,2018-01-10,1245.15,1254.33,1237.23,1254.33,2659507.0,0.0,1.0,1245.15,1254.33,1237.23,1254.33,2659507.0,5791015.36,,,1287.2139999999981,1307.1329999999984,1361.7859999999996,1276.68,0.017818277486785883
2018-01-09,2018-01-09,1256.9,1259.33,1241.76,1252.7,3646681.0,0.0,1.0,1256.9,1259.33,1241.76,1252.7,3646681.0,5740394.24,,,1278.753999999998,1296.6519999999987,1353.5819999999999,1254.33,0.0013011894308292415
2018-01-08,2018-01-08,1236.0,1253.08,1232.03,1246.87,4177533.0,0.0,1.0,1236.0,1253.08,1232.03,1246.87,4177533.0,5730599.08,,,1267.1559999999981,1285.0849999999984,1343.7834999999998,1252.7,0.004675707972763954
2018-01-05,2018-01-05,1217.51,1229.14,1210.0,1229.14,3430148.0,0.0,1.0,1217.51,1229.14,1210.0,1229.14,3430148.0,5709061.06,,,1251.9439999999981,1275.2679999999984,1335.4094999999998,1246.87,0.014424719722732737
2018-01-04,2018-01-04,1205.0,1215.87,1204.66,1209.59,3000366.0,0.0,1.0,1205.0,1215.87,1204.66,1209.59,3000366.0,5641536.0,,,1238.5259999999982,1266.7689999999984,1324.3389999999997,1229.14,0.016162501343430558
2018-01-03,2018-01-03,1188.3,1205.49,1188.3,1204.2,3044664.0,0.0,1.0,1188.3,1205.49,1188.3,1204.2,3044664.0,5599528.2,,,1228.4999999999982,1257.8569999999986,1315.0489999999998,1209.59,0.004476000664341395
2018-01-02,2018-01-02,1172.0,1190.0,1170.51,1189.01,2587899.0,0.0,1.0,1172.0,1190.0,1170.51,1189.01,2587899.0,5570751.3,,,1215.7619999999984,1247.2579999999984,1301.9169999999997,1204.2,0.012775334101479352
2017-12-29,2017-12-29,1182.35,1184.0,1167.5,1169.47,2625283.0,0.0,1.0,1182.35,1184.0,1167.5,1169.47,2625283.0,5539969.06,,,1200.2819999999983,1233.7189999999985,1288.4994999999997,1189.01,0.01670842347388124
2017-12-28,2017-12-28,1189.0,1190.1,1184.38,1186.1,1803460.0,0.0,1.0,1189.0,1190.1,1184.38,1186.1,1803460.0,5447496.94,,,1191.6739999999982,1221.8089999999984,1276.9204999999997,1169.47,-0.014020740241126317
2017-12-27,2017-12-27,1179.91,1187.29,1175.61,1182.26,1779382.0,0.0,1.0,1179.91,1187.29,1175.61,1182.26,1779382.0,5380766.86,,,1186.2079999999983,1212.3669999999984,1265.9309999999996,1186.1,0.003248016510750462
2017-12-26,2017-12-26,1168.36,1178.32,1160.55,1176.76,1964871.0,0.0,1.0,1168.36,1178.32,1160.55,1176.76,1964871.0,5331723.1,,,1180.7199999999982,1204.6099999999983,1255.8714999999995,1182.26,0.0046738502328427245
2017-12-22,2017-12-22,1172.08,1174.62,1167.83,1168.36,1553997.0,0.0,1.0,1172.08,1174.62,1167.83,1168.36,1553997.0,5292552.48,,,1176.589999999998,1196.1759999999983,1246.4139999999995,1176.76,0.007189564860145881
2017-12-21,2017-12-21,1175.9,1179.17,1167.64,1174.76,2042448.0,0.0,1.0,1175.9,1179.17,1167.64,1174.76,2042448.0,5249918.98,,,1177.647999999998,1188.9649999999983,1237.0249999999994,1168.36,-0.005447921277537571
2017-12-20,2017-12-20,1190.5,1191.0,1176.0,1177.62,2318916.0,0.0,1.0,1190.5,1191.0,1176.0,1177.62,2318916.0,5205062.94,,,1175.9519999999982,1183.8129999999983,1229.5404999999994,1174.76,-0.0024286272311950796
2017-12-19,2017-12-19,1189.15,1192.97,1179.14,1187.38,2555235.0,0.0,1.0,1189.15,1192.97,1179.14,1187.38,2555235.0,5151488.96,,,1176.9759999999983,1181.5919999999983,1224.1804999999993,1177.62,-0.008219777998618949
2017-12-18,2017-12-18,1187.37,1194.78,1180.91,1190.58,2767271.0,0.0,1.0,1187.37,1194.78,1180.91,1190.58,2767271.0,5075083.1,,,1179.7399999999982,1180.2299999999982,1219.0434999999993,1187.38,-0.0026877656268371464
2017-12-15,2017-12-15,1179.03,1182.75,1169.33,1179.14,4539895.0,0.0,1.0,1179.03,1182.75,1169.33,1179.14,4539895.0,5029176.4,,,1181.8959999999984,1179.2429999999981,1213.2504999999994,1190.58,0.009701986193327183
2017-12-14,2017-12-14,1163.71,1177.93,1162.45,1174.26,3069993.0,0.0,1.0,1163.71,1177.93,1162.45,1174.26,3069993.0,5002044.66,1390.5167142857138,,1181.7959999999982,1179.7219999999984,1206.7204999999992,1179.14,0.004155808764668922
2017-12-13,2017-12-13,1170.0,1170.87,1160.27,1164.13,2555053.0,0.0,1.0,1170.0,1170.87,1160.27,1164.13,2555053.0,4958978.16,1385.760714285714,,1179.0979999999984,1177.5249999999983,1199.6669999999992,1174.26,0.008701777292913881
2017-12-12,2017-12-12,1166.51,1173.6,1161.61,1165.08,2197697.0,0.0,1.0,1166.51,1173.6,1161.61,1165.08,2197697.0,4904751.04,1380.1781428571423,,1174.6379999999983,1175.8069999999984,1194.086999999999,1164.13,-0.0008153946510108812
2017-12-11,2017-12-11,1164.6,1169.9,1157.0,1168.92,2257922.0,0.0,1.0,1164.6,1169.9,1157.0,1168.92,2257922.0,4863369.32,1375.5118571428568,,1170.3059999999982,1175.0229999999983,1189.816499999999,1165.08,-0.003285083666974775
